DATE_ONLY,TIME,CAMPUS,ROOM ID,ROOM_EXAM_CAPACITY,TOTAL_STUDENTS,NUM_MODULES,UTILIZATION
2025-12-15,07g00,CS1,B1-208,44,44,1,1.0
2025-12-15,07g00,CS1,B1-212,38,38,1,1.0
2025-12-15,07g00,CS1,B1-213,38,38,3,1.0
2025-12-15,07g00,CS1,B1-305,38,38,1,1.0
2025-12-15,07g00,CS1,B1-306,44,44,1,1.0
2025-12-15,07g00,CS1,B1-308,38,38,2,1.0
2025-12-15,07g00,CS1,B1-311,42,42,1,1.0
2025-12-15,07g00,CS1,B4-305,42,42,1,1.0
2025-12-15,07g00,CS1,B4-306,42,42,1,1.0
2025-12-15,07g00,CS1,B4-406,57,57,1,1.0
2025-12-15,07g00,CS1,B4-501,42,42,1,1.0
2025-12-15,07g00,CS1,B4-502,42,42,1,1.0
2025-12-15,07g00,CS1,B4-505,63,63,1,1.0
2025-12-15,07g00,CS1,B6-306,42,42,1,1.0
2025-12-15,07g00,CS1,C4-301,42,42,1,1.0
2025-12-15,07g00,CS1,C4-304,42,42,1,1.0
2025-12-15,07g00,CS1,C4-402,42,42,1,1.0
2025-12-15,07g00,CS1,C4-403,42,42,1,1.0
2025-12-15,07g00,CS1,C4-502,42,42,1,1.0
2025-12-15,07g00,CS1,C5-303,42,42,1,1.0
2025-12-15,07g00,CS1,C5-401,42,42,1,1.0
2025-12-15,07g00,CS1,C5-403,42,42,1,1.0
2025-12-15,07g00,CS1,C5-502,42,42,1,1.0
2025-12-15,07g00,CS1,C5-503,42,42,1,1.0
2025-12-15,07g00,CS1,C6-102,50,50,1,1.0
2025-12-15,07g00,CS1,C6-103,50,50,1,1.0
2025-12-15,07g00,CS1,C6-401,42,42,1,1.0
2025-12-15,07g00,CS1,C6-402,42,42,1,1.0
2025-12-15,07g00,CS1,C6-403,42,42,1,1.0
2025-12-15,07g00,CS1,B10-203,37,21,2,0.5675675675675675
2025-12-15,07g00,CS2,H1-101,73,73,1,1.0
2025-12-15,07g00,CS2,H1-104,73,73,1,1.0
2025-12-15,07g00,CS2,H1-204,68,68,1,1.0
2025-12-15,07g00,CS2,H1-307,71,71,1,1.0
2025-12-15,07g00,CS2,H1-401,66,66,1,1.0
2025-12-15,07g00,CS2,H1-404,66,66,1,1.0
2025-12-15,07g00,CS2,H1-405,63,63,1,1.0
2025-12-15,07g00,CS2,H2-201,82,82,1,1.0
2025-12-15,07g00,CS2,H2-202,62,62,1,1.0
2025-12-15,07g00,CS2,H2-205,62,62,1,1.0
2025-12-15,07g00,CS2,H2-206,82,82,1,1.0
2025-12-15,07g00,CS2,H2-207,71,71,1,1.0
2025-12-15,07g00,CS2,H2-301,82,82,1,1.0
2025-12-15,07g00,CS2,H2-302,62,62,2,1.0
2025-12-15,07g00,CS2,H2-306,82,82,1,1.0
2025-12-15,07g00,CS2,H2-307,62,62,2,1.0
2025-12-15,07g00,CS2,H2-401,82,82,1,1.0
2025-12-15,07g00,CS2,H2-406,82,82,1,1.0
2025-12-15,07g00,CS2,H3-201,75,75,1,1.0
2025-12-15,07g00,CS2,H3-301,75,75,1,1.0
2025-12-15,07g00,CS2,H3-306,75,75,1,1.0
2025-12-15,07g00,CS2,H3-401,75,75,1,1.0
2025-12-15,07g00,CS2,H3-406,75,75,1,1.0
2025-12-15,07g00,CS2,H3-501,75,75,1,1.0
2025-12-15,07g00,CS2,H3-506,75,75,1,1.0
2025-12-15,07g00,CS2,H3-606,63,63,1,1.0
2025-12-15,07g00,CS2,H6-113,68,68,1,1.0
2025-12-15,07g00,CS2,H6-201,63,63,1,1.0
2025-12-15,07g00,CS2,H6-205,62,62,2,1.0
2025-12-15,07g00,CS2,H6-208,62,62,1,1.0
2025-12-15,07g00,CS2,H6-211,66,66,1,1.0
2025-12-15,07g00,CS2,H6-305,68,68,1,1.0
2025-12-15,07g00,CS2,H6-308,76,76,1,1.0
2025-12-15,07g00,CS2,H6-311,71,71,1,1.0
2025-12-15,07g00,CS2,H6-405,63,63,1,1.0
2025-12-15,07g00,CS2,H6-412,65,65,1,1.0
2025-12-15,07g00,CS2,H6-802,63,63,1,1.0
2025-12-15,07g00,CS2,H6-810,63,63,1,1.0
2025-12-15,07g00,CS2,H6-811,79,79,1,1.0
2025-12-15,07g00,CS2,H6-516,60,48,3,0.8
2025-12-15,09g30,CS1,B1-208,44,44,1,1.0
2025-12-15,09g30,CS1,B1-306,44,44,1,1.0
2025-12-15,09g30,CS1,B4-306,42,42,4,1.0
2025-12-15,09g30,CS1,B4-406,57,57,1,1.0
2025-12-15,09g30,CS1,B4-501,42,42,3,1.0
2025-12-15,09g30,CS1,B4-505,63,63,1,1.0
2025-12-15,09g30,CS1,C4-502,42,42,2,1.0
2025-12-15,09g30,CS1,C5-303,42,42,2,1.0
2025-12-15,09g30,CS1,C6-102,50,50,1,1.0
2025-12-15,09g30,CS1,C6-103,50,50,1,1.0
2025-12-15,09g30,CS1,B4-305,42,14,2,0.3333333333333333
2025-12-15,09g30,CS2,H2-201,82,82,1,1.0
2025-12-15,09g30,CS2,H2-401,82,82,2,1.0
2025-12-15,09g30,CS2,H2-406,82,82,1,1.0
2025-12-15,09g30,CS2,H2-306,82,81,8,0.9878048780487805
2025-12-15,13g00,CS1,B4-406,57,57,1,1.0
2025-12-15,13g00,CS1,B4-505,63,63,1,1.0
