DATE_ONLY,TIME,CAMPUS,ROOM ID,ROOM_CAPACITY,ROOM_EXAM_CAPACITY,TOTAL_STUDENTS,NUM_MODULES,UTILIZATION
2025-12-15,07g00,CS1,B1-208,84,44,84,2,1.0
2025-12-15,07g00,CS1,B1-306,84,44,84,3,1.0
2025-12-15,07g00,CS1,B4-406,108,57,108,2,1.0
2025-12-15,07g00,CS1,B4-505,120,63,120,2,1.0
2025-12-15,07g00,CS1,B5-GD,130,130,130,1,1.0
2025-12-15,07g00,CS1,C6-102,100,50,100,2,1.0
2025-12-15,07g00,CS1,C6-103,100,50,100,2,1.0
2025-12-15,07g00,CS1,B4-502,80,42,75,4,0.9375
2025-12-15,07g00,CS1,B1-311,80,42,42,1,0.525
2025-12-15,07g00,CS1,B4-305,80,42,42,1,0.525
2025-12-15,07g00,CS1,B4-306,80,42,42,1,0.525
2025-12-15,07g00,CS1,B4-501,80,42,42,1,0.525
2025-12-15,07g00,CS1,B6-306,80,42,42,1,0.525
2025-12-15,07g00,CS1,C4-301,80,42,42,1,0.525
2025-12-15,07g00,CS1,C4-304,80,42,42,1,0.525
2025-12-15,07g00,CS1,C4-402,80,42,42,1,0.525
2025-12-15,07g00,CS1,C4-403,80,42,42,1,0.525
2025-12-15,07g00,CS1,C4-502,80,42,42,1,0.525
2025-12-15,07g00,CS1,C5-303,80,42,42,1,0.525
2025-12-15,07g00,CS1,C5-401,80,42,16,1,0.2
2025-12-15,07g00,CS2,H2-201,156,82,156,3,1.0
2025-12-15,07g00,CS2,H2-301,156,82,156,3,1.0
2025-12-15,07g00,CS2,H2-306,156,82,156,3,1.0
2025-12-15,07g00,CS2,H6-GD,250,250,250,1,1.0
2025-12-15,07g00,CS2,NTD,300,300,300,1,1.0
2025-12-15,07g00,CS2,H2-401,156,82,121,3,0.7756410256410257
2025-12-15,07g00,CS2,H1-101,138,73,73,1,0.5289855072463768
2025-12-15,07g00,CS2,H1-104,138,73,73,1,0.5289855072463768
2025-12-15,07g00,CS2,H3-201,142,75,75,1,0.528169014084507
2025-12-15,07g00,CS2,H3-301,142,75,75,1,0.528169014084507
2025-12-15,07g00,CS2,H3-306,142,75,75,1,0.528169014084507
2025-12-15,07g00,CS2,H3-401,142,75,75,1,0.528169014084507
2025-12-15,07g00,CS2,H3-406,142,75,75,1,0.528169014084507
2025-12-15,07g00,CS2,H3-501,142,75,75,1,0.528169014084507
2025-12-15,07g00,CS2,H3-506,142,75,75,1,0.528169014084507
2025-12-15,07g00,CS2,H6-308,144,76,76,1,0.5277777777777778
2025-12-15,07g00,CS2,H1-204,129,68,68,1,0.5271317829457365
2025-12-15,07g00,CS2,H6-113,129,68,68,1,0.5271317829457365
2025-12-15,07g00,CS2,H6-305,129,68,68,1,0.5271317829457365
2025-12-15,07g00,CS2,H6-811,150,79,79,1,0.5266666666666666
2025-12-15,07g00,CS2,H1-307,135,71,71,1,0.5259259259259259
2025-12-15,07g00,CS2,H2-207,135,71,71,1,0.5259259259259259
2025-12-15,07g00,CS2,H6-311,135,71,71,1,0.5259259259259259
2025-12-15,07g00,CS2,H2-206,156,82,82,1,0.5256410256410257
2025-12-15,07g00,CS2,H2-406,156,82,82,1,0.5256410256410257
2025-12-15,07g00,CS2,H1-401,126,66,66,1,0.5238095238095238
2025-12-15,07g00,CS2,H1-404,126,66,66,1,0.5238095238095238
2025-12-15,07g00,CS2,H6-211,126,66,66,1,0.5238095238095238
2025-12-15,07g00,CS2,H6-412,123,65,52,1,0.42276422764227645
2025-12-15,09g30,CS1,B4-406,108,57,108,3,1.0
2025-12-15,09g30,CS1,B4-505,120,63,120,2,1.0
2025-12-15,09g30,CS1,B5-GD,130,130,130,1,1.0
2025-12-15,09g30,CS1,C6-103,100,50,100,5,1.0
2025-12-15,09g30,CS1,C6-102,100,50,32,4,0.32
2025-12-15,09g30,CS2,NTD,300,300,300,5,1.0
2025-12-15,09g30,CS2,H6-GD,250,250,27,5,0.108
2025-12-15,13g00,CS1,B5-GD,130,130,130,1,1.0
2025-12-15,13g00,CS1,B4-505,120,63,117,5,0.975
2025-12-15,13g00,CS2,H2-201,156,82,156,3,1.0
2025-12-15,13g00,CS2,H2-301,156,82,156,4,1.0
2025-12-15,13g00,CS2,H6-GD,250,250,250,1,1.0
2025-12-15,13g00,CS2,NTD,300,300,300,1,1.0
2025-12-15,13g00,CS2,H2-306,156,82,17,3,0.10897435897435898
2025-12-15,15g30,CS1,B5-GD,130,130,54,1,0.4153846153846154
2025-12-15,15g30,CS2,NTD,300,300,119,1,0.39666666666666667
2025-12-16,07g00,CS1,B4-406,108,57,108,4,1.0
2025-12-16,07g00,CS1,B4-505,120,63,120,2,1.0
2025-12-16,07g00,CS1,B5-GD,130,130,130,1,1.0
2025-12-16,07g00,CS1,C6-103,100,50,51,5,0.51
2025-12-16,07g00,CS2,NTD,300,300,252,4,0.84
2025-12-16,09g30,CS1,B5-GD,130,130,130,1,1.0
2025-12-16,09g30,CS1,B4-505,120,63,92,3,0.7666666666666667
2025-12-16,09g30,CS1,B4-406,108,57,34,1,0.3148148148148148
2025-12-16,09g30,CS2,H6-GD,250,250,250,1,1.0
2025-12-16,09g30,CS2,NTD,300,300,300,1,1.0
2025-12-16,09g30,CS2,H2-201,156,82,123,4,0.7884615384615384
2025-12-16,13g00,CS1,B4-505,120,63,120,2,1.0
2025-12-16,13g00,CS1,B5-GD,130,130,130,1,1.0
2025-12-16,13g00,CS1,B4-406,108,57,72,2,0.6666666666666666
2025-12-16,13g00,CS1,B4-502,80,42,42,1,0.525
2025-12-16,13g00,CS1,B1-208,84,44,44,1,0.5238095238095238
2025-12-16,13g00,CS1,B1-306,84,44,44,1,0.5238095238095238
2025-12-16,13g00,CS1,C6-102,100,50,50,1,0.5
2025-12-16,13g00,CS1,C6-103,100,50,50,1,0.5
2025-12-16,13g00,CS1,B4-501,80,42,14,1,0.175
2025-12-16,13g00,CS2,H2-201,156,82,156,2,1.0
2025-12-16,13g00,CS2,H2-301,156,82,156,2,1.0
